pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,6,0,24,0,,,,,86.60634099997696,87.60650669998722,87.60650669998722,87.60650669998722,87.60650669998722,87.60650669998722,88.60615700000199,88.60615700000199,x,1,0.6684663999767508,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
150,v,6,1,25,1,,,,,89.3062043999962,90.3062162999995,90.3062162999995,90.3062162999995,90.3062162999995,90.3062162999995,91.30575159998261,91.30575159998261,v,1,1.2159133999957703,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
50,c,6,2,26,2,,,,,92.53900619997876,93.53916299997945,93.53916299997945,93.53916299997945,93.53916299997945,93.53916299997945,94.53883259999566,94.53883259999566,c,1,0.6957036000094377,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-150,z,6,3,27,3,,,,,95.25528309997753,96.25562129999162,96.25562129999162,96.25562129999162,96.25562129999162,96.25562129999162,97.2550096999912,97.2550096999912,z,1,0.4137464000086766,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-50,x,7,0,28,0,,,,,97.68830759997945,98.68846819997998,98.68846819997998,98.68846819997998,98.68846819997998,98.68846819997998,99.68810249998933,99.68810249998933,x,1,0.9310300000070129,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
150,v,7,1,29,1,,,,,100.6381075999816,101.63809379999293,101.63809379999293,101.63809379999293,101.63809379999293,101.63809379999293,102.63779739997699,102.63779739997699,v,1,0.5597419000114314,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
50,c,7,2,30,2,,,,,103.2210880999919,104.22112889998243,104.22112889998243,104.22112889998243,104.22112889998243,104.22112889998243,105.22089619998587,105.22089619998587,c,1,0.7686876000079792,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-150,z,7,3,31,3,,,,,106.02065639998182,107.02081059999182,107.02081059999182,107.02081059999182,107.02081059999182,107.02081059999182,108.02047339998535,108.02047339998535,z,1,0.4776918000134174,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-50,x,8,0,32,0,,,,,108.52036879997468,109.52032169999438,109.52032169999438,109.52032169999438,109.52032169999438,109.52032169999438,110.52016169999843,110.52016169999843,x,1,0.40521430000080727,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
150,v,8,1,33,1,,,,,110.95323009998538,111.95354679998127,111.95354679998127,111.95354679998127,111.95354679998127,111.95354679998127,112.9531699999934,112.9531699999934,v,1,0.6046771999972407,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
50,c,8,2,34,2,,,,,113.58635759999743,114.5864939999883,114.5864939999883,114.5864939999883,114.5864939999883,114.5864939999883,115.5860282999929,115.5860282999929,c,1,0.7316715999913868,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-150,z,8,3,35,3,,,,,116.33594569997513,117.33603320000111,117.33603320000111,117.33603320000111,117.33603320000111,117.33603320000111,118.33564579999074,118.33564579999074,z,1,0.5651752999983728,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-50,x,9,0,36,0,,,,,118.9188817999966,119.91917859998648,119.91917859998648,119.91917859998648,119.91917859998648,119.91917859998648,120.91877379998914,120.91877379998914,x,1,0.35885630000848323,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
150,v,9,1,37,1,,,,,121.30207509998581,122.30214149999665,122.30214149999665,122.30214149999665,122.30214149999665,122.30214149999665,123.30165459998534,123.30165459998534,v,1,0.5235779999929946,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
50,c,9,2,38,2,,,,,123.85171389998868,124.8518170999887,124.8518170999887,124.8518170999887,124.8518170999887,124.8518170999887,125.85155309998663,125.85155309998663,c,1,0.9511355000140611,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-150,z,9,3,39,3,,,,,126.83473419997608,127.83470289999968,127.83470289999968,127.83470289999968,127.83470289999968,127.83470289999968,128.8343540999922,128.8343540999922,z,1,0.5016366000054404,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-50,x,10,0,40,0,,,,,129.36770999999135,130.36759999999776,130.36759999999776,130.36759999999776,130.36759999999776,130.36759999999776,131.36738769998192,131.36738769998192,x,1,0.687791299977107,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
150,v,10,1,41,1,,,,,132.08394129999215,133.08411149997846,133.08411149997846,133.08411149997846,133.08411149997846,133.08411149997846,134.08383239997784,134.08383239997784,v,1,0.43444509999244474,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
50,c,10,2,42,2,,,,,134.55031719998806,135.5503773999808,135.5503773999808,135.5503773999808,135.5503773999808,135.5503773999808,136.55007979998481,136.55007979998481,c,1,0.5385111000214238,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-150,z,10,3,43,3,,,,,137.11683339998126,138.11687820000225,138.11687820000225,138.11687820000225,138.11687820000225,138.11687820000225,139.1163155999966,139.1163155999966,z,1,0.4527081999985967,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-50,x,11,0,44,0,,,,,139.59972339999513,140.5997529999877,140.5997529999877,140.5997529999877,140.5997529999877,140.5997529999877,141.59947659997852,141.59947659997852,x,1,0.42354180000256747,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
150,v,11,1,45,1,,,,,142.04938039998524,143.0494125999976,143.0494125999976,143.0494125999976,143.0494125999976,143.0494125999976,144.0490759999957,144.0490759999957,v,1,0.5720036000129767,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
